Ch 2005 | [根本] | ...hần Đỉnh lại bị phong ấn,根本 không nhìn thấy chuyện g...
Ch 2007 | [姿態] | ...i trọng, từ lâu không còn姿態 của kẻ bị bắt trong chiế...
Ch 2008 | [竟然弄来了这么多五磁神砂] | ...uyệt mạch.  “Tốt tốt tốt,竟然弄来了这么多五磁神砂，居心叵测, xem ra các ngươi đ...
Ch 2008 | [居心叵测] | ...Tốt tốt tốt,竟然弄来了这么多五磁神砂，居心叵测, xem ra các ngươi đã mưu...
Ch 2008 | [竟然] | ...ng cười lạnh lùng, cơ thể竟然 trực tiếp hóa hơi, biến ...
Ch 2009 | [竟然] | ...hiếc ma khí này không tệ,竟然 thu thập được hơn một ng...
Ch 2011 | [连] | ...Ma Giới truy sát. Hứa Hắc连 bản thân mình là ai cũng...
Ch 2012 | [竟然] | ...đã nhận ra, vùng biển này竟然 được tạo thành bởi dầu n...
Ch 2013 | [碎] | ...h Long Bộc Kích Thuật, Th碎 Long Ngâm, Thanh Long Th...
Ch 2013 | [碎] | ... Long Ngâm, Thanh Long Th碎 Thiên Hầu, Càn Khôn Ngượ...
Ch 2017 | [竟] | ...ng, để bảo vệ lũ trẻ này,竟 dùng bản thân làm mồi để...
Ch 2018 | [竟然埋有] | ...í mạnh mẽ, dưới thành này竟然埋有 ba linh mạch cực phẩm, c...
Ch 2018 | [竟然] | ...a Tộc xâm lược, thành này竟然 bắt đầu xây dựng các côn...
Ch 2019 | [竟然] | ...giới, năng lực của anh ta竟然 mất hiệu quả.  Nhưng anh...
Ch 2020 | [明明] | ...ởng sao?    "Có vài việc,明明 biết không thể làm mà vẫ...
Ch 2020 | [明明] | ...a bị tàn sát sạch sẽ.    明明 biết không thể làm mà vẫ...
Ch 2020 | [竟然] | ...ớn.”  “Còn một người nữa,竟然 chết dưới tay một Ma Tướ...
Ch 2022 | [竟然] | ... năm mươi ma tướng, nhưng竟然 vẫn chưa chết?  “Ùng!”  ...
Ch 2022 | [符] | ...m đập loạn nhịp?”  “Đó là符 văn gì! Thật đáng sợ!”  ...
Ch 2022 | [符] | ...ệt mày của hắn, có một tờ符 giấy màu vàng nâu, đang ...
Ch 2022 | [符] | ...cháy âm ỉ.  Phiên Cổ Tiên符!  Phiên符 tiên này, là bả...
Ch 2022 | [符] | ....  Phiên Cổ Tiên符!  Phiên符 tiên này, là bảo符 cứu mạ...
Ch 2022 | [符] | ...  Phiên符 tiên này, là bảo符 cứu mạng được Cổ Châu Ti...
Ch 2022 | [符] | ..., lùi lại trạng thái rồng符 đang cháy, tạm thời phát...
Ch 2022 | [符] | ...hời phát huy hiệu ứng của符 rồng.  Ngày xưa ở Thiên ...
Ch 2022 | [符] | ...a Hắc dựa vào một tờ rồng符, lực đối chọi với hơn ba...
Ch 2022 | [符] | ...Ngoại Thiên!  “Đó là tiên符 gì?!” Mắt Thái Âm co lại...
Ch 2022 | [符] | ...hưng giờ đây, hắn mở linh符 rồng, sở hữu sức mạnh ch...
Ch 2022 | [符] | ...ị ánh sáng thánh của linh符 rồng chiếu, ngay lập tức...
Ch 2023 | [修] | ...sinh trong học viện, kiếm修 có tâm kiếm trong sáng, ...
Ch 2024 | [夺心] | ...hải phục tùng quy tắc.  Đ夺心 (Lấy đi Tâm Hồn) của Thá...
Ch 2024 | [夺心] | ...tàn bạo và đơn giản như Đ夺心!  “Nhớ lại Ma Đế La Hầu ...
Ch 2024 | [连] | ...thế giới nhỏ của Hứa Hắc,连 ma vực cũng có thể cách ...
Ch 2025 | [竟然] | ...Ma ngoại giới, ở Ma giới,竟然 thu hút Ma trời!”    Lý ...
Ch 2025 | [竟然] | ...ả năng xuất hiện Ma trời,竟然 lại xuất hiện Ma ngoại g...
Ch 2026 | [算聪明] | ....   "Hehe, các ngươi cũng算聪明." Hắc Hoàng mỉm cười nhẹ...
Ch 2027 | [符] | ...ảo bối ra, điểm cháy linh符, sẵn sàng phản công bất ...
Ch 2029 | [既然] | ...ể sử dụng cho đại sự.” “Đ既然 là Ma tướng, tất nhiên p...
Ch 2031 | [既然] | ...ữu một thợ săn rồng." ” “既然 bạn đã biết rồi, thì chắ...
Ch 2033 | [根本] | ...ừ rằng: "Hừ, nhà họ Giang根本 không dám chống lại chún...
Ch 2033 | [连七杀都能击退] | ...“Quả là Đại nhân Cô Tinh,连七杀都能击退, thuộc hạ phục!” *(ghi c...
Ch 2033 | [连七杀都能击退] | ...ộc hạ phục!” *(ghi chú: '连七杀都能击退' cần giữ nguyên vì là tê...
Ch 2034 | [愿意] | ... xúc phạm ngài, chúng tôi愿意 xin lỗi!”    Giang Lục Q...
Ch 2034 | [根本] | ...ặt mũi, ai ngờ, người này根本 không thèm để ý, ngược l...
Ch 2034 | [算] | ...u nói: “Ừm, các ngươi còn算 có tầm nhìn trước, khu t...
Ch 2034 | [就是] | ...à? Nhớ kỹ, Ma Giới của ta就是 môi trường như thế này, ...
Ch 2036 | [算] | ...inh hãi sâu sắc.  Họ cũng算 từng chứng kiến không ít...
Ch 2036 | [算] | ...ng quá ba người.  Hứa Hắc算 là người thứ tư.  “Quả k...
Ch 2036 | [愿] | ...nói câu cũ, gia tộc Giang愿 phục Ma Tộc, cho dù ngươ...
Ch 2037 | [虽] | ...iếu linh khí. Người ngoài虽 tò mò, nhưng không ai dá...
Ch 2038 | [派] | ...m, khỏi phải thỉnh thoảng派 người đến thử thách cậu ...
Ch 2039 | [一直] | ...ản.  Cũng có một số người一直 chưa đưa ra ý kiến, có v...
Ch 2039 | [一直] | ...Phong nhìn về phía Từ Hôi一直 không nói gì.  Từ Hôi, c...
Ch 2039 | [阵] | ... dùng bất kỳ thiết bị phá阵 nào, hoàn toàn dựa vào s...
Ch 2040 | [连] | ...iữ sinh tử của đời người,连 tự sát cũng không làm đư...
Ch 2040 | [投入] | ...vung tay, một sợi xích to投入 vào bóng tối, như đang x...
Ch 2041 | [阵] | ...tốt đến vậy, thậm chí hàm阵 pháp cũng được đặt trước...
Ch 2043 | [影] | ...hản xạ của Ma tướng Thiên影, vượt qua phản xạ của tấ...
Ch 2043 | [造] | ...ể đã được Ma Thái Tuế cải造, lại càng mạnh hơn, chiê...
Ch 2044 | [竟然掌握了這種力量] | ... tinh của ma tộc! Hứa Hắc竟然掌握了這種力量.”   Những người trong độ...
Ch 2046 | [既然如此] | ...lại đầu têu cho Ma tộc, đ既然如此, thì giết hết các ngươi,...
Ch 2049 | [脉] | ...ó.  Bạch Chỉ sở hữu huyết脉 mạnh mẽ có thể sánh với ...
Ch 2049 | [呵呵] | ... tiếng người không?”    “呵呵, cậu không hiểu cũng là ...
Ch 2049 | [既然] | ... không kết làm bạn đường,既然 ngươi kiên quyết ở lại đ...
Ch 2051 | [碎] | ...màu đen, viết một chữ ——“碎” (Vỡ)!  “Bùm!!”  Hàng ch...
Ch 2052 | [算] | ...hơn, chênh lệch gấp ba đã算 là tốt, nhiều hơn là chê...
Ch 2053 | [竟然] | ...iên Ngoại Thiên, giờ đây,竟然 cũng tham gia vào cuộc v...
Ch 2053 | [竟然] | ...ng của Đèn Trời Công Đức,竟然 bị ngăn chặn cứng rắn.  ...
Ch 2055 | [根本] | .... Hoặc có thể nói, bọn họ根本 không coi Hứa Hắc ra gì!...
Ch 2058 | [竟然] | ...n, không mặt của Hứa Hắc,竟然 lại chuyển động.    Hắn ...
Ch 2058 | [竟然] | ...yên cũng bối rối, Hứa Hắc竟然 còn có thể vận động!    ...
Ch 2059 | [一直] | ...chính là A Ngân!   A Ngân一直 chưa xuất hiện, chỉ chờ ...
Ch 2060 | [竟然掌握了浩然正氣本源] | ...iên đời đầu!”    “Hứa Hắc竟然掌握了浩然正氣本源!” Vài vị cao tầng cuối c...
Ch 2062 | [族] | ...ủa thế giới.  Đội quân ma族 không ngăn cản, cũng khô...
Ch 2062 | [一直没有消息] | ...No wonder tổ tiên đời đầu一直没有消息, hóa ra là đã tự phong ấ...
Ch 2062 | [則] | ...ùng với sức mạnh của pháp則 tan vào bên trong, đường...
Ch 2063 | [族] | ...hi chứng kiến đội quân ma族 rút lui hoàn toàn, qua b...
Ch 2065 | [噬] | ...g sẽ ngay lập tức bị phản噬.   Nhưng điều làm hắn ki...
Ch 2067 | [竟然] | ... La Hầu này thật đáng sợ,竟然 có thể xóa bỏ suy nghĩ c...
Ch 2068 | [裁决] | ... Hứa Hắc cầm Thiên Phạt T裁决 Kiếm, chém thẳng đón đán...
Ch 2068 | [又] | ...y giống như ma khí, nhưng又 không hoàn toàn là ma kh...
Ch 2071 | [就是] | ...ông thể thay đổi, lịch sử就是 lịch sử.”  Cô đã thay đổ...
Ch 2072 | [裂开了一道缝隙] | ... thấy sâu trong hư không,裂开了一道缝隙 đó là cánh cửa nối đến đ...
Ch 2072 | [符] | ...g đến đâu, hoặc dùng tiên符 ẩn nấp, hoặc quỳ xuống đ...
Ch 2074 | [算] | ...sợ, họ không biết mình có算 là người chết hay không....
